SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID,PLAYER_NAME,SEASON
22022,1630173,0022201068,2023-03-19,TOR @ MIL,L,20,2,3,0.667,0,1,0.0,1,2,0.5,1,4,5,3,0,1,0,1,5,7,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022201058,2023-03-18,TOR vs. MIN,W,3,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,2,-4,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022201029,2023-03-14,TOR vs. DEN,W,14,0,3,0.0,0,1,0.0,4,4,1.0,3,1,4,1,0,0,0,0,4,-13,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022201003,2023-03-10,TOR @ LAL,L,8,2,5,0.4,0,1,0.0,1,2,0.5,1,1,2,0,0,0,1,2,5,-10,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200991,2023-03-08,TOR @ LAC,L,12,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,3,0,3,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200975,2023-03-06,TOR @ DEN,L,19,3,4,0.75,1,1,1.0,2,2,1.0,0,6,6,3,1,0,0,1,9,6,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200956,2023-03-04,TOR @ WAS,W,19,2,6,0.333,0,1,0.0,0,0,0.0,1,1,2,0,1,0,2,1,4,17,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200942,2023-03-02,TOR @ WAS,L,13,1,2,0.5,0,0,0.0,0,0,0.0,0,4,4,0,0,1,1,1,2,-15,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200925,2023-02-28,TOR vs. CHI,W,12,2,6,0.333,0,1,0.0,0,0,0.0,3,0,3,0,0,0,0,1,4,-14,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200914,2023-02-26,TOR @ CLE,L,16,3,6,0.5,1,1,1.0,0,0,0.0,1,2,3,0,0,0,2,1,7,-10,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200903,2023-02-25,TOR @ DET,W,22,3,8,0.375,0,0,0.0,4,7,0.571,1,5,6,3,0,0,1,3,10,2,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200890,2023-02-23,TOR vs. NOP,W,20,2,6,0.333,0,1,0.0,2,2,1.0,0,6,6,0,0,1,2,1,6,4,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200868,2023-02-14,TOR vs. ORL,W,34,4,7,0.571,1,2,0.5,2,2,1.0,3,10,13,0,0,1,3,2,11,11,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200856,2023-02-12,TOR vs. DET,W,33,4,10,0.4,0,2,0.0,3,6,0.5,4,7,11,1,0,0,0,2,11,5,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200839,2023-02-10,TOR vs. UTA,L,31,7,11,0.636,2,4,0.5,0,0,0.0,1,3,4,4,0,0,1,4,16,-5,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200826,2023-02-08,TOR vs. SAS,W,28,4,6,0.667,1,2,0.5,1,2,0.5,1,6,7,0,1,2,1,4,10,-1,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200805,2023-02-05,TOR @ MEM,W,31,5,12,0.417,0,3,0.0,0,0,0.0,1,6,7,0,4,0,0,1,10,-11,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200789,2023-02-03,TOR @ HOU,W,29,2,7,0.286,0,2,0.0,5,9,0.556,3,5,8,2,1,1,2,6,9,-8,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200776,2023-02-01,TOR @ UTA,L,25,6,8,0.75,0,0,0.0,1,4,0.25,5,1,6,1,1,1,0,4,13,3,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200762,2023-01-30,TOR @ PHX,L,34,5,9,0.556,0,1,0.0,1,2,0.5,5,7,12,1,1,1,1,3,11,-6,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200751,2023-01-28,TOR @ POR,W,33,11,16,0.688,1,2,0.5,4,4,1.0,3,10,13,0,2,1,2,3,27,27,1,1630173,Precious Achiuwa,2022-23
